Model,Pretraining,L1 Corpus Size (Rows),L1 Learning Rate,L1 Epochs,L1 Per GPU Batch Size,Num Topics,L2 Learning Rate,L2 Epochs,L2 Per GPU Batch Size,L3 Adam Epsilon,L3 Learning Rate,L3 Epochs,L3 Per GPU Batch Size,F1 Train,F1 Dev
LSTM,No,,,,,,,,,,,,,,
CNN + Fully Connected,No,,,,,,,,,,,,,,
BERT,L1,100000,1.00E-04,4,8,7,NA,NA,NA,1.00E-09,1.00E-04,8,8,"[0.5193591455273698, 0.692367601246106, 0.835002225189141, 0.9257899421450824, 0.9668446817979528, 0.9813084112149533, 0.988206497552292, 0.9898753894080997]","[0.6266266266266266, 0.6756756756756757, 0.6716716716716716, 0.7067067067067067, 0.7097097097097097, 0.6976976976976977, 0.7147147147147147, 0.7187187187187187]"
BERT,L1,100000,1.00E-04,4,8,7,NA,NA,NA,1.00E-08,1.00E-04,8,8,"[0.5142412105028927, 0.6965954606141522, 0.8403426791277259, 0.939363595905652, 0.9702937249666221, 0.9820872274143302, 0.9886515353805073, 0.989652870493992]","[0.6226226226226226, 0.6656656656656657, 0.6946946946946947, 0.7047047047047047, 0.6836836836836837, 0.6976976976976977, 0.7037037037037037, 0.7087087087087086]"
BERT,L1,100000,1.00E-04,4,8,7,NA,NA,NA,1.00E-10,1.00E-04,8,8,"[0.5136849132176236, 0.6858032932799288, 0.832109479305741, 0.9264574988874055, 0.9692923898531375, 0.9805295950155763, 0.987427681352915, 0.9892078326657766]","[0.6236236236236237, 0.6846846846846847, 0.6726726726726727, 0.7137137137137137, 0.6776776776776777, 0.7027027027027027, 0.7077077077077077, 0.7057057057057057]"
BERT,none,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-09,2.00E-05,8,8,"[0.4636181575433912, 0.6238317757009346, 0.7195149087672453, 0.7993991989319092, 0.8653760569648421, 0.9013128615932354, 0.9307966177125055, 0.94971072541166]","[0.5855855855855856, 0.6136136136136137, 0.6546546546546547, 0.6746746746746747, 0.6706706706706707, 0.6856856856856857, 0.6866866866866866, 0.6926926926926927]"
BERT,none,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-09,1.00E-05,8,8,"[0.40275923453493545, 0.5605251446372942, 0.6248331108144193, 0.6770137961726747, 0.7207387627948375, 0.7521139296840231, 0.77803738317757, 0.7893858477970627]","[0.5475475475475475, 0.5845845845845846, 0.6176176176176176, 0.6356356356356356, 0.6436436436436437, 0.6586586586586587, 0.6516516516516516, 0.6506506506506506]"
BERT,none,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-09,1.00E-04,8,8,"[0.516243880729862, 0.6841344014241211, 0.82688028482421, 0.9273475745438362, 0.9642857142857143, 0.9824210057854917, 0.988206497552292, 0.9897641299510458]","[0.5915915915915916, 0.6846846846846847, 0.6906906906906907, 0.6906906906906907, 0.6886886886886887, 0.7047047047047047, 0.6956956956956957, 0.6996996996996997]"
BERT,L1 + L2,100000,1.00E-04,4,8,7,1.00E-04,4,8,1.00E-09,1.00E-04,8,8,"[0.517022696929239, 0.7001557632398754, 0.8489096573208724, 0.9315754339118825, 0.9718513573653761, 0.9809746328437917, 0.9872051624388073, 0.9898753894080997]","[0.6146146146146146, 0.6896896896896897, 0.7007007007007007, 0.7117117117117117, 0.7077077077077077, 0.7077077077077077, 0.7137137137137137, 0.7227227227227229]"
BERT,L1 + L2,100000,1.00E-04,4,8,7,1.00E-04,4,8,1.00E-09,2.00E-05,8,8,"[0.4735202492211838, 0.6150422785936804, 0.7099465954606141, 0.7820427236315087, 0.8398976412995105, 0.881619937694704, 0.9153315531820204, 0.9266800178015131]","[0.5855855855855856, 0.6206206206206206, 0.6506506506506506, 0.6756756756756757, 0.6736736736736737, 0.6796796796796797, 0.6856856856856857, 0.6836836836836837]"
BERT,L1 + L2,100000,1.00E-04,4,8,7,1.00E-04,4,8,1.00E-09,1.00E-05,8,8,"[0.4192256341789052, 0.5625278148642635, 0.6179350244770806, 0.6654428126390743, 0.7118380062305296, 0.7338673787271918, 0.7596795727636849, 0.7740320427236315]","[0.5375375375375375, 0.5835835835835835, 0.6016016016016016, 0.6196196196196196, 0.6286286286286287, 0.6306306306306306, 0.6396396396396397, 0.6386386386386387]"
BERT,L1 + L2,100000,1.00E-04,4,8,7,2.00E-05,4,8,1.00E-09,1.00E-04,8,8,"[0.5086782376502003, 0.6994882064975523, 0.8452380952380952, 0.9313529149977748, 0.9698486871384068, 0.9828660436137072, 0.9888740542946151, 0.9912105028927459]","[0.5935935935935935, 0.6946946946946947, 0.7027027027027027, 0.7097097097097097, 0.7117117117117117, 0.7087087087087086, 0.7147147147147147, 0.7137137137137137]"
